;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
vectus7;pogo_the_goat;;;;;;;;;;;;;Mentions;26/05/2022 11:11;RT @Pogo_the_goat: Them. Today we only ask for one thing, that you heard our voice and #SafeTF2 from the plague of bots so other people not…;;;safetf2;26/05/2022 11:11;https://twitter.com/#!/vectus7/status/1529782198848606208;;;1529782198848606208;
vectus7;valvesoftware;;;;;;;;;;;;;Mentions;26/05/2022 11:11;RT @ZoomvieX: @valvesoftware please #SafeTF2 https://t.co/xyR7Q5BwRW;;;safetf2;26/05/2022 11:11;https://twitter.com/#!/vectus7/status/1529782245774458880;;;1529782245774458880;
vectus7;zoomviex;;;;;;;;;;;;;Mentions;26/05/2022 11:11;RT @ZoomvieX: @valvesoftware please #SafeTF2 https://t.co/xyR7Q5BwRW;;;safetf2;26/05/2022 11:11;https://twitter.com/#!/vectus7/status/1529782245774458880;;;1529782245774458880;
vectus7;some1_peculiar;;;;;;;;;;;;;Mentions;26/05/2022 11:11;"RT @some1_peculiar: #safetf2 
I started to play it only 2 years ago  but I had my first contact
With tf2 As i was about 6 as i watched my o…";;;safetf2;26/05/2022 11:11;https://twitter.com/#!/vectus7/status/1529782284936699905;;;1529782284936699905;
vectus7;bombineer;;;;;;;;;;;;;Mentions;26/05/2022 11:12;RT @bombineer: Started tf2 in 2014, but still loving it and want to go back to casuals with out the problem of bots. So lets #SafeTF2 Valve…;;;safetf2;26/05/2022 11:12;https://twitter.com/#!/vectus7/status/1529782426377003008;;;1529782426377003008;
vectus7;redsoney;;;;;;;;;;;;;Mentions;26/05/2022 11:12;RT @redsoney: Choć gram w TF2 dopiero rok to już zdążyłem się w niej zakochać. Łamie mi się serce widząc jak z Team Fortressem 2 obchodzi s…;;;;26/05/2022 11:12;https://twitter.com/#!/vectus7/status/1529782591292952578;;;1529782591292952578;
shinyasshole;basicpork;;;;;;;;;;;;;Mentions;26/05/2022 11:16;RT @basicpork: game in the state that it's in is really heartbreaking and I wish that valve would finally step up and fix the botting issue…;;;;26/05/2022 11:16;https://twitter.com/#!/shinyasshole/status/1529783624433803264;;;1529783624433803264;
iamexydis;iamexydis;;;;;;;;;;;;;Tweet;26/05/2022 11:18;#SafeTF2 https://t.co/vlpC7kVElv;;;safetf2;26/05/2022 11:18;https://twitter.com/#!/iamexydis/status/1529783949538516994;;;1529783949538516994;
technowings2;technowings2;;;;;;;;;;;;;Tweet;26/05/2022 11:29;Okay. So I know I don't produce aret or culture a community, but TF2 does. It has a beautiful fan base of loyal fan… https://t.co/hSXzTXC0ln;https://twitter.com/i/web/status/1529786899346472960;twitter.com;;26/05/2022 11:29;https://twitter.com/#!/technowings2/status/1529786899346472960;;;1529786899346472960;
_megacomet_;_megacomet_;;;;;;;;;;;;;Tweet;26/05/2022 11:30;#SafeTF2 Back when I first played it on the Orange Box I loved it and now that I can play it on PC, I’d very much l… https://t.co/MQDlg4yWWq;https://twitter.com/i/web/status/1529787045857660929;twitter.com;safetf2;26/05/2022 11:30;https://twitter.com/#!/_megacomet_/status/1529787045857660929;;;1529787045857660929;
matherook;matherook;;;;;;;;;;;;;Tweet;26/05/2022 11:33;#SafeTF2;;;safetf2;26/05/2022 11:33;https://twitter.com/#!/matherook/status/1529787812224049157;;;1529787812224049157;
